name,sggCity,queryPoint
박종희,수원시갑,58
이찬열,수원시갑,100
김재귀,수원시갑,21
김상민,수원시을,100
백혜련,수원시을,42
이대의,수원시을,4
김용남,수원시병,100
김영진,수원시병,78
박수영,수원시정,39
박광온,수원시정,100
김명수,수원시정,41
정미경,수원시무,45
김진표,수원시무,100
김용석,수원시무,11
변환봉,성남시수정구,56
김태년,성남시수정구,100
장영하,성남시수정구,27
신상진,성남시중원구,17
은수미,성남시중원구,100
정환석,성남시중원구,4
권혁세,성남시분당구갑,100
김병관,성남시분당구갑,41
염오봉,성남시분당구갑,1
전하진,성남시분당구을,70
김병욱,성남시분당구을,100
임태희,성남시분당구을,61
강세창,의정부시갑,2
문희상,의정부시갑,14
김경호,의정부시갑,7
홍문종,의정부시을,100
김민철,의정부시을,31
정희영,의정부시을,15
장경순,안양시만안구,13
이종걸,안양시만안구,100
곽선우,안양시만안구,4
권용준,안양시동안구갑,17
이석현,안양시동안구갑,100
백종주,안양시동안구갑,8
심재철,안양시동안구을,100
이정국,안양시동안구을,36
정진후,안양시동안구을,47
이음재,부천시원미구갑,68
김경협,부천시원미구갑,100
황인직,부천시원미구갑,34
이사철,부천시원미구을,63
설훈,부천시원미구을,100
이승호,부천시원미구을,28
차명진,부천시소사구,27
김상희,부천시소사구,33
김정기,부천시소사구,8
안병도,부천시오정구,24
원혜영,부천시오정구,100
서영석,부천시오정구,25
정은숙,광명시갑,53
백재현,광명시갑,100
양순필,광명시갑,26
주대준,광명시을,8
이언주,광명시을,100
송백석,광명시을,2
원유철,평택시갑,100
고인정,평택시갑,2
최인규,평택시갑,2
유의동,평택시을,100
김선기,평택시을,63
이계안,평택시을,60
김성원,동두천시연천군,100
유진현,동두천시연천군,42
심동용,동두천시연천군,21
이화수,안산시상록구갑,52
전해철,안산시상록구갑,100
박주원,안산시상록구갑,41
홍장표,안산시상록구을,12
김철민,안산시상록구을,30
김영환,안산시상록구을,100
김명연,안산시단원구갑,100
고영인,안산시단원구갑,52
김기완,안산시단원구갑,23
박순자,안산시단원구을,100
손창완,안산시단원구을,33
부좌현,안산시단원구을,78
손범규,고양시갑,5
박준,고양시갑,2
심상정,고양시갑,100
김태원,고양시을,78
정재호,고양시을,100
이균철,고양시을,13
백성운,고양시병,16
유은혜,고양시병,100
장석환,고양시병,9
김영선,고양시정,35
김현미,고양시정,100
길종성,고양시정,9
박요찬,의왕시과천시,62
신창현,의왕시과천시,100
김도헌,의왕시과천시,19
박창식,구리시,57
윤호중,구리시,100
정경진,구리시,27
심장수,남양주시갑,8
조응천,남양주시갑,100
유영훈,남양주시갑,1
김성태,남양주시을,100
김한정,남양주시을,28
표철수,남양주시을,12
주광덕,남양주시병,79
최민희,남양주시병,100
이진호,남양주시병,44
이권재,오산시,34
안민석,오산시,100
최웅수,오산시,18
함진규,시흥시갑,100
백원우,시흥시갑,85
임승철,시흥시갑,17
김순택,시흥시을,32
조정식,시흥시을,100
정필재,시흥시을,23
심규철,군포시갑,53
김정우,군포시갑,100
이환봉,군포시갑,17
금병찬,군포시을,38
이학영,군포시을,100
정기남,군포시을,21
이현재,하남시,1
문학진,하남시,0
유형욱,하남시,0
이우현,용인시갑,100
백군기,용인시갑,56
조성욱,용인시갑,13
허명환,용인시을,34
김민기,용인시을,100
권오진,용인시을,16
한선교,용인시병,100
이우현,용인시병,43
임한수,용인시병,11
이상일,용인시정,2
표창원,용인시정,100
김종희,용인시정,0
정성근,파주시갑,51
윤후덕,파주시갑,100
김남현,파주시갑,13
황진하,파주시을,100
박정,파주시을,95
류화선,파주시을,25
송석준,이천시,100
엄태준,이천시,49
이희규,이천시,25
김학용,안성시,13
이규민,안성시,5
이상민,안성시,87
김동식,김포시갑,14
김두관,김포시갑,100
홍철호,김포시을,100
정하영,김포시을,46
하금성,김포시을,13
서청원,화성시갑,100
김용,화성시갑,10
박주홍,화성시갑,1
오병주,화성시을,42
이원욱,화성시을,100
김형남,화성시을,25
우호태,화성시병,59
권칠승,화성시병,100
한기운,화성시병,17
정진섭,광주시갑,49
소병훈,광주시갑,100
노철래,광주시을,78
임종성,광주시을,100
이세종,양주시,14
정성호,양주시,100
김영우,포천시가평군,100
김창균,포천시가평군,41
정병국,여주시양평군,100
정동균,여주시양평군,26
이장우,동구,100
강래구,동구,41
선병렬,동구,19
이은권,중구,98
송행수,중구,72
유배근,중구,44
이영규,서구갑,51
박병석,서구갑,100
김흥규,서구갑,12
이재선,서구을,69
박범계,서구을,100
이동규,서구을,24
진동규,유성구갑,57
조승래,유성구갑,100
고무열,유성구갑,21
김신호,유성구을,14
이상민,유성구을,87
김학일,유성구을,2
정용기,대덕구,100
박영순,대덕구,74
김창수,대덕구,61
정우택,청주시상당구,100
한범덕,청주시상당구,51
한대수,청주시상당구,18
최현호,청주시서원구,28
오제세,청주시서원구,100
안창현,청주시서원구,2
송태영,청주시흥덕구,13
도종환,청주시흥덕구,100
정수창,청주시흥덕구,6
오성균,청주시청원구,55
변재일,청주시청원구,100
신언관,청주시청원구,14
이종배,충주시,100
윤홍락,충주시,47
권석창,제천시단양군,100
이후삼,제천시단양군,44
김대부,제천시단양군,15
박덕흠,보은군옥천군영동군괴산군,100
이재한,보은군옥천군영동군괴산군,61
경대수,증평군진천군음성군,100
임해종,증평군진천군음성군,52
김영국,증평군진천군음성군,32
양치석,제주시갑,58
강창일,제주시갑,100
장성철,제주시갑,22
부상일,제주시을,69
오영훈,제주시을,100
오수용,제주시을,9
강지용,서귀포시,46
위성곤,서귀포시,100
전희재,전주시갑,14
김윤덕,전주시갑,62
김광수,전주시갑,100
정운천,전주시을,100
최형재,전주시을,9
장세환,전주시을,4
김성진,전주시병,2
김성주,전주시병,16
정동영,전주시병,100
채용묵,군산시,18
김윤태,군산시,55
김관영,군산시,100
김영일,익산시갑,22
이춘석,익산시갑,100
이한수,익산시갑,57
박종길,익산시을,7
한병도,익산시을,15
조배숙,익산시을,39
하정열,정읍시고창군,35
유성엽,정읍시고창군,100
이강수,정읍시고창군,53
박희승,남원시임실군순창군,1
이용호,남원시임실군순창군,3
강동원,남원시임실군순창군,25
김효성,김제시부안군,5
김춘진,김제시부안군,71
김종회,김제시부안군,69
신재봉,완주군진안군무주군장수군,7
안호영,완주군진안군무주군장수군,100
임정엽,완주군진안군무주군장수군,83
박석만,목포시,3
조상기,목포시,6
박지원,목포시,100
송대수,여수시갑,54
이용주,여수시갑,100
김영규,여수시갑,35
김성훈,여수시을,13
백무현,여수시을,43
주승용,여수시을,83
이정현,순천시,100
노관규,순천시,37
구희승,순천시,8
김종우,나주시화순군,10
신정훈,나주시화순군,62
손금주,나주시화순군,100
이승안,광양시곡성군구례군,9
우윤근,광양시곡성군구례군,91
정인화,광양시곡성군구례군,100
조성학,담양군함평군영광군장성군,4
이개호,담양군함평군영광군장성군,100
강형욱,담양군함평군영광군장성군,43
장귀석,고흥군보성군장흥군강진군,10
신문식,고흥군보성군장흥군강진군,48
황주홍,고흥군보성군장흥군강진군,100
명욱재,해남군완도군진도군,6
김영록,해남군완도군진도군,55
윤영일,해남군완도군진도군,100
주영순,영암군무안군신안군,1
서삼석,영암군무안군신안군,3
박준영,영암군무안군신안군,63
배준영,중구동구강화군옹진군,3
조택상,중구동구강화군옹진군,1
안상수,중구동구강화군옹진군,100
홍일표,남구갑,78
허종식,남구갑,43
김충래,남구갑,21
안귀옥,남구을,4
김성진,남구을,5
윤상현,남구을,100
정승연,연수구갑,70
박찬대,연수구갑,100
진의범,연수구갑,15
민경욱,연수구을,100
윤종기,연수구을,23
한광원,연수구을,9
문대성,남동구갑,100
박남춘,남동구갑,22
김명수,남동구갑,12
조전혁,남동구을,100
윤관석,남동구을,84
정유섭,부평구갑,6
이성만,부평구갑,1
문병호,부평구갑,100
강창규,부평구을,16
홍영표,부평구을,48
이현웅,부평구을,46
오성규,계양구갑,54
유동수,계양구갑,100
이수봉,계양구갑,30
윤형선,계양구을,12
송영길,계양구을,100
최원식,계양구을,17
이학재,서구갑,100
김교흥,서구갑,46
유길종,서구갑,14
황우여,서구을,100
신동근,서구을,40
허영,서구을,65
박종준,세종특별자치시,2
문흥수,세종특별자치시,0
이해찬,세종특별자치시,32
오세훈,종로구,100
정세균,종로구,14
박태순,종로구,0
김동성,중구성동구갑,43
홍익표,중구성동구갑,100
서경선,중구성동구갑,11
지상욱,중구성동구을,100
이지수,중구성동구을,1
정호준,중구성동구을,7
황춘자,용산구,1
진영,용산구,4
곽태원,용산구,0
정송학,광진구갑,34
전혜숙,광진구갑,91
임동순,광진구갑,18
정준길,광진구을,16
추미애,광진구을,100
황인철,광진구을,6
허용범,동대문구갑,59
안규백,동대문구갑,100
김윤,동대문구갑,24
박준선,동대문구을,14
민병두,동대문구을,37
윤미연,동대문구을,45
김진수,중랑구갑,39
서영교,중랑구갑,100
민병록,중랑구갑,13
강동호,중랑구을,1
박홍근,중랑구을,3
강원,중랑구을,0
정태근,성북구갑,43
유승희,성북구갑,100
도천수,성북구갑,21
김효재,성북구을,24
기동민,성북구을,100
김인원,성북구을,13
정양석,강북구갑,94
천준호,강북구갑,100
김기옥,강북구갑,42
안홍렬,강북구을,6
박용진,강북구을,33
조구성,강북구을,2
이재범,도봉구갑,16
인재근,도봉구갑,100
김선동,도봉구을,100
오기형,도봉구을,86
이노근,노원구갑,100
고용진,노원구갑,68
이형남,노원구갑,15
홍범식,노원구을,39
우원식,노원구을,100
황상모,노원구을,20
이준석,노원구병,60
황창화,노원구병,2
안철수,노원구병,100
최홍재,은평구갑,9
박주민,은평구갑,100
최승현,은평구갑,5
강병원,은평구을,5
고연호,은평구을,1
이재오,은평구을,20
이성헌,서대문구갑,39
우상호,서대문구갑,100
김영준,서대문구갑,22
정두언,서대문구을,12
김영호,서대문구을,11
홍성덕,서대문구을,0
안대희,마포구갑,100
노웅래,마포구갑,78
홍성문,마포구갑,8
김성동,마포구을,1
손혜원,마포구을,18
김철,마포구을,0
이기재,양천구갑,48
황희,양천구갑,100
염동옥,양천구갑,19
김용태,양천구을,100
이용선,양천구을,43
김현배,양천구을,22
구상찬,강서구갑,14
금태섭,강서구갑,100
김영근,강서구갑,4
김성태,강서구을,100
진성준,강서구을,62
김용성,강서구을,7
유영,강서구병,52
한정애,강서구병,100
김성호,강서구병,32
김승제,구로구갑,46
이인영,구로구갑,100
김철근,구로구갑,19
강요식,구로구을,2
박영선,구로구을,22
정찬택,구로구을,1
한인수,금천구,23
이훈,금천구,100
정두환,금천구,14
박선규,영등포구갑,55
김영주,영등포구갑,59
강신복,영등포구갑,10
권영세,영등포구을,34
신경민,영등포구을,100
김종구,영등포구을,7
이상휘,동작구갑,14
김병기,동작구갑,100
장환진,동작구갑,5
나경원,동작구을,27
허동준,동작구을,0
장진영,동작구을,0
원영섭,관악구갑,6
유기홍,관악구갑,20
김성식,관악구갑,100
오신환,관악구을,91
정태호,관악구을,46
이행자,관악구을,45
이혜훈,서초구갑,48
이정근,서초구갑,6
이한준,서초구갑,2
박성중,서초구을,100
김기영,서초구을,72
조순형,서초구을,58
이종구,강남구갑,72
김성곤,강남구갑,54
김종훈,강남구을,12
전현희,강남구을,100
김광종,강남구을,0
이은재,강남구병,100
전원근,강남구병,37
박인숙,송파구갑,100
박성수,송파구갑,64
김창남,송파구갑,18
최명길,송파구을,32
이래협,송파구을,2
김영순,송파구을,9
김을동,송파구병,100
남인순,송파구병,6
차성환,송파구병,0
신동우,강동구갑,100
진선미,강동구갑,24
신동만,강동구갑,4
이재영,강동구을,100
심재권,강동구을,42
강연재,강동구을,43
곽상도,중구남구,100
김동열,중구남구,40
박창달,중구남구,44
정종섭,동구갑,55
황순규,동구갑,5
류성걸,동구갑,92
이승천,동구을,0
유승민,동구을,53
김상훈,서구,74
서중현,서구,42
손창민,서구,44
정태옥,북구갑,2
이현주,북구갑,1
권은희,북구갑,54
양명모,북구을,24
조명래,북구을,2
홍의락,북구을,100
김문수,수성구갑,28
김부겸,수성구갑,100
이인선,수성구을,2
정기철,수성구을,0
주호영,수성구을,9
곽대훈,달서구갑,96
변홍철,달서구갑,100
윤재옥,달서구을,87
김태용,달서구을,78
조원진,달서구병,100
김부기,달서구병,10
조석원,달서구병,13
추경호,달성군,49
조기석,달성군,12
구성재,달성군,28
정갑윤,중구,64
이철수,중구,21
이향희,중구,50
이채익,남구갑,100
심규명,남구갑,88
박기준,남구갑,45
박맹우,남구을,86
임동욱,남구을,14
송철호,남구을,100
안효대,동구,6
이연희,동구,8
김종훈,동구,100
윤두환,북구,15
윤종오,북구,100
김두겸,울주군,24
정찬모,울주군,9
강길부,울주군,92
박찬우,천안시갑,100
